cansim_table_number|title|subject|keywords|notes|date_published|time_period_coverage_start|time_period_coverage_end|url_en
41-10-0015|Reasons for difficulty in finding work by Inuit population, unemployed|labour, persons|employment and unemployment, indigenous peoples, indigenous peoples and the labour market, labour, labour and employment, table, unemployment|<p>Challenges faced by the unemployed when searching for work by age group and sex, Inuit population aged 15 years and over, Canada and Inuit Nunangat.<br><br></p>|2018-12-05 08:31:00|2017-01-01 00:00:00|2017-01-01 00:00:00|https://www150.statcan.gc.ca/n1/tbl/csv/41100015-eng.zip
41-10-0016|What would help most to find a job by Aboriginal identity, unemployed|labour, persons|employment and unemployment, indigenous peoples, indigenous peoples and the labour market, labour, labour and employment, table, unemployment|<p>What would most help those who were unemployed to find employment by Aboriginal identity, age group and sex, population aged 15 years and over, Canada, provinces and territories.</p>|2018-12-05 08:31:00|2017-01-01 00:00:00|2017-01-01 00:00:00|https://www150.statcan.gc.ca/n1/tbl/csv/41100016-eng.zip
41-10-0017|What would help most to find a job by Inuit population, unemployed|labour, persons|employment and unemployment, indigenous peoples, indigenous peoples and the labour market, labour, labour and employment, table, unemployment|<p>What would most help those who were unemployed to find employment by age group and sex, Inuit population aged 15 years and over, Canada and Inuit Nunangat.</p>|2018-12-05 08:31:00|2017-01-01 00:00:00|2017-01-01 00:00:00|https://www150.statcan.gc.ca/n1/tbl/csv/41100017-eng.zip
41-10-0018|What would help most to find a job by Aboriginal identity, not in the labour force and plan to look for work|labour, persons|employment and unemployment, indigenous peoples, indigenous peoples and the labour market, labour, labour and employment, table, unemployment|<p>What would help most for those who were not in the labour force and plan to look for work in the next 12 months to find employment by Aboriginal identity, age group and sex, population aged 15 years and over, Canada, provinces and territories.</p>|2018-12-05 08:31:00|2017-01-01 00:00:00|2017-01-01 00:00:00|https://www150.statcan.gc.ca/n1/tbl/csv/41100018-eng.zip
41-10-0019|What would help most to find a job by Inuit population, not in the labour force and plan to look for work|labour, persons|employment and unemployment, indigenous peoples, indigenous peoples and the labour market, labour, labour and employment, table, unemployment|<p>What would help most for those who were not in the labour force and plan to look for work in the next 12 months to find employment by age group and sex, Inuit population aged 15 years and over, Canada and Inuit Nunangat.</p>|2018-12-05 08:31:00|2017-01-01 00:00:00|2017-01-01 00:00:00|https://www150.statcan.gc.ca/n1/tbl/csv/41100019-eng.zip
41-10-0022|Aboriginal peoples survey, making handcrafted goods by Aboriginal identity, age group and sex, population aged 15 years and over, Canada, provinces and territories|persons|indigenous peoples, language and culture, table|<p>This table contains 69696 series, with data for years 2012 - 2012 (not all combinations necessarily have data for all years).&nbsp;This table contains data described by the following dimensions (Not all combinations are available):  Geography (11 items: Canada; Atlantic; Quebec; Ontario; ...)  Aboriginal identity (6 items: Total, Aboriginal identity; First Nations (North American Indian); First Nations (North American Indian), Registered or Treaty Indian; First Nations (North American Indian), not a Registered or Treaty Indian; ...)  Age group (4 items: Total, 15 years and over; 15 to 24 years; 25 to 54 years; 55 years and over)  Sex (3 items: Both sexes; Male; Female)  Making handcrafted goods (22 items: Total, made clothing or footwear in the last year; Made clothing or footwear in the last year; Made clothing or footwear at least once a week in the last month; Made clothing or footwear less than once a week but at least once in the last month; ...)  Statistics (4 items: Number of persons; Percent; Low 95% confidence interval; High 95% confidence interval).<br></p>|2015-11-09 08:30:00|2012-01-01 00:00:00|2012-01-01 00:00:00|https://www150.statcan.gc.ca/n1/tbl/csv/41100022-eng.zip
41-10-0023|Aboriginal peoples survey, making handcrafted goods by age group and sex, Inuit population aged 15 years and over, Canada and Inuit Nunangat|persons|indigenous peoples, language and culture, table|<p>This table contains 7392 series, with data for years 2012 - 2012 (not all combinations necessarily have data for all years.&nbsp;This table contains data described by the following dimensions (Not all combinations are available):  Geography (7 items: Canada; Inuit Nunangat; Nunatsiavut; Nunavik; ...)  Age group (4 items: Total, 15 years and over; 15 to 24 years; 25 to 54 years; 55 years and over)  Sex (3 items: Both sexes; Male; Female)  Making handcrafted goods (22 items: Total, made clothing or footwear in the last year; Made clothing or footwear in the last year; Made clothing or footwear at least once a week in the last month; Made clothing or footwear less than once a week but at least once in the last month; ...)  Statistics (4 items: Number of persons; Percent; Low 95% confidence interval; High 95% confidence interval).<br></p>|2015-11-09 08:30:00|2012-01-01 00:00:00|2012-01-01 00:00:00|https://www150.statcan.gc.ca/n1/tbl/csv/41100023-eng.zip
41-10-0024|Aboriginal peoples survey, reasons for making handcrafted goods, by Aboriginal identity, age group and sex, population aged 15 years and over, Canada, provinces and territories|persons|indigenous peoples, language and culture, table|<p>This table contains 50688 series, with data for years 2012 - 2012 (not all combinations necessarily have data for all years).&nbsp;This table contains data described by the following dimensions (Not all combinations are available):  Geography (11 items: Canada; Atlantic; Quebec; Ontario; ...)  Aboriginal identity (6 items: Total, Aboriginal identity; First Nations (North American Indian); First Nations (North American Indian), Registered or Treaty Indian; First Nations (North American Indian), not a Registered or Treaty Indian; ...)  Age group (4 items: Total, 15 years and over; 15 to 24 years; 25 to 54 years; 55 years and over)  Sex (3 items: Both sexes; Male; Female)  Making handcrafted goods (16 items: Total, made clothing or footwear in the last year; Made clothing or footwear in the last year; Made clothing or footwear in the last year for pleasure or leisure; Made clothing or footwear in the last year for own or family's use or to supplement income; ...)  Statistics (4 items: Number of persons; Percent; Low 95% confidence interval; High 95% confidence interval).<br></p>|2015-11-09 08:30:00|2012-01-01 00:00:00|2012-01-01 00:00:00|https://www150.statcan.gc.ca/n1/tbl/csv/41100024-eng.zip
41-10-0025|Aboriginal peoples survey, reasons for making handcrafted goods, by age group and sex, Inuit population aged 15 years and over, Canada and Inuit Nunangat|persons|indigenous peoples, language and culture, table|<p>This table contains 5376 series, with data for years 2012 - 2012 (not all combinations necessarily have data for all years).&nbsp;This table contains data described by the following dimensions (Not all combinations are available):  Geography (7 items: Canada; Inuit Nunangat; Nunatsiavut; Nunavik; ...)  Age group (4 items: Total, 15 years and over; 15 to 24 years; 25 to 54 years; 55 years and over)  Sex (3 items: Both sexes; Male; Female)  Making handcrafted goods (16 items: Total, made clothing or footwear in the last year; Made clothing or footwear in the last year; Made clothing or footwear in the last year for pleasure or leisure; Made clothing or footwear in the last year for own or family's use or to supplement income; ...)  Statistics (4 items: Number of persons; Percent; Low 95% confidence interval; High 95% confidence interval).<br></p>|2015-11-09 08:30:00|2012-01-01 00:00:00|2012-01-01 00:00:00|https://www150.statcan.gc.ca/n1/tbl/csv/41100025-eng.zip
41-10-0026|Aboriginal peoples survey, harvesting activities by Aboriginal identity, age group and sex, population aged 15 years and over, Canada, provinces and territories|persons|indigenous peoples, language and culture, table|<p>This table contains 69696 series, with data for years 2012 - 2012 (not all combinations necessarily have data for all years).&nbsp;This table contains data described by the following dimensions (Not all combinations are available):  Geography (11 items: Canada; Atlantic; Quebec; Ontario; ...)  Aboriginal identity (6 items: Total, Aboriginal identity; First Nations (North American Indian); First Nations (North American Indian), Registered or Treaty Indian; First Nations (North American Indian), not a Registered or Treaty Indian; ...)  Age group (4 items: Total, 15 years and over; 15 to 24 years; 25 to 54 years; 55 years and over)  Sex (3 items: Both sexes; Male; Female)  Harvesting activities (22 items: Total, hunted, fished or trapped in the last year; Hunted, fished or trapped in the last year; Hunted, fished or trapped at least once a week during the season; Hunted, fished or trapped less than once a week but at least once a month during the season; ...)  Statistics (4 items: Number of persons; Percent; Low 95% confidence interval; High 95% confidence interval).<br></p>|2015-11-09 08:30:00|2012-01-01 00:00:00|2012-01-01 00:00:00|https://www150.statcan.gc.ca/n1/tbl/csv/41100026-eng.zip
41-10-0027|Aboriginal peoples survey, harvesting activities by age group and sex, Inuit population aged 15 years and over, Canada and Inuit Nunangat|persons|indigenous peoples, language and culture, table|<p>This table contains 7392 series, with data for years 2012 - 2012 (not all combinations necessarily have data for all years).&nbsp;This table contains data described by the following dimensions (Not all combinations are available):  Geography (7 items: Canada; Inuit Nunangat; Nunatsiavut; Nunavik; ...)  Age group (4 items: Total, 15 years and over; 15 to 24 years; 25 to 54 years; 55 years and over)  Sex (3 items: Both sexes; Male; Female)  Harvesting activities (22 items: Total, hunted, fished or trapped in the last year; Hunted, fished or trapped in the last year; Hunted, fished or trapped at least once a week during the season; Hunted, fished or trapped less than once a week but at least once a month during the season; ...)  Statistics (4 items: Number of persons; Percent; Low 95% confidence interval; High 95% confidence interval).<br></p>|2015-11-09 08:30:00|2012-01-01 00:00:00|2012-01-01 00:00:00|https://www150.statcan.gc.ca/n1/tbl/csv/41100027-eng.zip
41-10-0028|Aboriginal peoples survey, reasons for harvesting, by Aboriginal identity, age group and sex, population aged 15 years and over, Canada, provinces and territories|persons|indigenous peoples, language and culture, table|<p>This table contains 50688 series, with data for years 2012 - 2012 (not all combinations necessarily have data for all years).&nbsp;This table contains data described by the following dimensions (Not all combinations are available):  Geography (11 items: Canada; Atlantic; Quebec; Ontario; ...)  Aboriginal identity (6 items: Total, Aboriginal identity; First Nations (North American Indian); First Nations (North American Indian), Registered or Treaty Indian; First Nations (North American Indian), not a Registered or Treaty Indian; ...)  Age group (4 items: Total, 15 years and over; 15 to 24 years; 25 to 54 years; 55 years and over)  Sex (3 items: Both sexes; Male; Female)  Harvesting activities (16 items: Total, hunted, fished or trapped in the last year; Hunted, fished or trapped in the last year; Hunted, fished or trapped in the last year for pleasure or leisure; Hunted, fished or trapped in the last year for own or family's use or to supplement income; ...)  Statistics (4 items: Number of persons; Percent; Low 95% confidence interval; High 95% confidence interval).<br></p>|2015-11-09 08:30:00|2012-01-01 00:00:00|2012-01-01 00:00:00|https://www150.statcan.gc.ca/n1/tbl/csv/41100028-eng.zip
41-10-0029|Aboriginal peoples survey, reasons for harvesting, by age group and sex, Inuit population aged 15 years and over, Canada and Inuit Nunangat|persons|indigenous peoples, land, other content related to indigenous peoples, table, tradition, unpaid work|<p>This table contains 5376 series, with data for years 2012 - 2012 (not all combinations necessarily have data for all years).     This table contains data described by the following dimensions (Not all combinations are available):  Geography (7 items: Canada; Inuit Nunangat; Nunatsiavut; Nunavik; ...)  Age group (4 items: Total, 15 years and over; 15 to 24 years; 25 to 54 years; 55 years and over)  Sex (3 items: Both sexes; Male; Female)  Harvesting activities (16 items: Total, hunted, fished or trapped in the last year; Hunted, fished or trapped in the last year; Hunted, fished or trapped in the last year for pleasure or leisure; Hunted, fished or trapped in the last year for own or family's use or to supplement income; ...)  Statistics (4 items: Number of persons; Percent; Low 95% confidence interval; High 95% confidence interval).<br></p>|2015-11-09 08:30:00|2012-01-01 00:00:00|2012-01-01 00:00:00|https://www150.statcan.gc.ca/n1/tbl/csv/41100029-eng.zip
41-10-0030|Self-rated ability to speak and understand an Aboriginal language by Aboriginal identity|language_and_linguistics, persons|indigenous languages, indigenous peoples, knowledge of languages, language and culture, languages, table|Self-rated ability to speak and understand an Aboriginal language, by Aboriginal identity, age group and sex, population aged 6 years and over, Canada, provinces and territories (occasional).|2016-04-01 08:30:00|2012-01-01 00:00:00|2012-01-01 00:00:00|https://www150.statcan.gc.ca/n1/tbl/csv/41100030-eng.zip
41-10-0031|Self-rated ability to speak and understand an Aboriginal language by Inuit region of residence|language_and_linguistics, persons|indigenous languages, indigenous peoples, knowledge of languages, language and culture, languages, table|Self-rated ability to speak and understand an Aboriginal language, by age group and sex, Inuit population aged 6 years and over, Canada and Inuit Nunangat (occasional).|2016-04-01 08:30:00|2012-01-01 00:00:00|2012-01-01 00:00:00|https://www150.statcan.gc.ca/n1/tbl/csv/41100031-eng.zip
41-10-0032|Primary Aboriginal language spoken and self-rated ability to speak primary Aboriginal language|language_and_linguistics, persons|indigenous languages, indigenous peoples, knowledge of languages, language and culture, languages, table|Primary Aboriginal language spoken and self-rated ability to speak primary Aboriginal language, by age group and sex, population aged 6 years and over, Canada, provinces and territories (occasional).|2016-04-01 08:30:00|2012-01-01 00:00:00|2012-01-01 00:00:00|https://www150.statcan.gc.ca/n1/tbl/csv/41100032-eng.zip
41-10-0033|Primary Aboriginal language understood and self-rated ability to understand primary Aboriginal language|language_and_linguistics, persons|indigenous languages, indigenous peoples, knowledge of languages, language and culture, languages, table|Primary Aboriginal language understood and self-rated ability to understand primary Aboriginal language, by age group and sex, population aged 6 years and over, Canada, provinces and territories (occasional).|2016-04-01 08:30:00|2012-01-01 00:00:00|2012-01-01 00:00:00|https://www150.statcan.gc.ca/n1/tbl/csv/41100033-eng.zip
41-10-0034|Importance of speaking and understanding an Aboriginal language by Aboriginal Identity|language_and_linguistics, persons|indigenous languages, indigenous peoples, knowledge of languages, language and culture, languages, table|Importance of speaking and understanding an Aboriginal language, by Aboriginal identity, age group and sex, population aged 6 years and over, Canada, provinces and territories (occasional).|2016-04-01 08:30:00|2012-01-01 00:00:00|2012-01-01 00:00:00|https://www150.statcan.gc.ca/n1/tbl/csv/41100034-eng.zip
41-10-0035|Importance of speaking and understanding an Aboriginal language by Inuit region of residence|language_and_linguistics, persons|indigenous languages, indigenous peoples, knowledge of languages, language and culture, languages, table|Importance of speaking and understanding an Aboriginal language, by age group and sex, Inuit population aged 6 years and over, Canada and Inuit Nunangat.|2016-04-01 08:30:00|2012-01-01 00:00:00|2012-01-01 00:00:00|https://www150.statcan.gc.ca/n1/tbl/csv/41100035-eng.zip
41-10-0036|Educational attainment and labour force status by Aboriginal Identity|labour, persons|education learning and skills, employment and unemployment, indigenous peoples, indigenous peoples and the labour market, labour, labour and employment, table|Educational attainment and labour force status, by Aboriginal identity, age group and sex, population aged 15 years and over, Canada, provinces and territories (occasional).|2016-04-01 08:30:00|2012-01-01 00:00:00|2012-01-01 00:00:00|https://www150.statcan.gc.ca/n1/tbl/csv/41100036-eng.zip
41-10-0037|Educational attainment and labour force status by Inuit region of residence|labour, persons|education learning and skills, employment and unemployment, indigenous peoples, indigenous peoples and the labour market, labour, labour and employment, table|Educational attainment and labour force status, by age group and sex, Inuit population aged 15 years and over, Canada and Inuit Nunangat (occasional).|2016-04-01 08:30:00|2012-01-01 00:00:00|2012-01-01 00:00:00|https://www150.statcan.gc.ca/n1/tbl/csv/41100037-eng.zip
41-10-0038|Path to obtaining high school diploma and postsecondary education by Aboriginal Identity|education_and_training, persons|education learning and skills, education training and learning, indigenous peoples, student pathways, table|Path to obtaining high school diploma and postsecondary education, by Aboriginal identity, age group and sex, population aged 15 years and over, Canada, provinces and territories (occasional).|2016-04-01 08:30:00|2012-01-01 00:00:00|2012-01-01 00:00:00|https://www150.statcan.gc.ca/n1/tbl/csv/41100038-eng.zip
41-10-0039|Path to obtaining high school diploma and postsecondary education by Inuit region of residence|education_and_training, persons|education learning and skills, education training and learning, indigenous peoples, student pathways, table|Path to obtaining high school diploma and postsecondary education, by age group and sex, Inuit population aged 15 years and over, Canada and Inuit Nunangat (occasional).|2016-04-01 08:30:00|2012-01-01 00:00:00|2012-01-01 00:00:00|https://www150.statcan.gc.ca/n1/tbl/csv/41100039-eng.zip
